   4.3652E-02   5.2481E-02   1.6301E-14  0.0005
   5.2481E-02   6.3096E-02   1.1191E-14  0.0005
   6.3096E-02   7.5858E-02   1.0261E-14  0.0005
   7.5858E-02   9.1201E-02   1.1986E-14  0.0005
   9.1201E-02   1.0965E-01   1.5285E-14  0.0005
   1.0965E-01   1.3183E-01   1.9448E-14  0.0005
   1.3183E-01   1.5849E-01   2.3389E-14  0.0004
   1.5849E-01   1.9055E-01   2.5453E-14  0.0004
   1.9055E-01   2.2909E-01   2.4216E-14  0.0005
   2.2909E-01   2.7542E-01   1.9512E-14  0.0005
   2.7542E-01   3.3113E-01   1.4781E-14  0.0005
   3.3113E-01   3.9811E-01   1.3152E-14  0.0004
   3.9811E-01   4.7863E-01   1.5299E-14  0.0003
   4.7863E-01   5.7544E-01   2.0516E-14  0.0002
   5.7544E-01   6.9183E-01   2.8881E-14  0.0002
   6.9183E-01   8.3176E-01   4.1259E-14  0.0002
   8.3176E-01   1.0000E+00   5.4644E-14  0.0002
   1.0000E+00   1.2023E+00   5.8056E-14  0.0002
   1.2023E+00   1.4454E+00   2.7977E-14  0.0003
   1.4454E+00   1.7378E+00   2.7604E-14  0.0003
   1.7378E+00   2.0893E+00   2.7690E-14  0.0003
   2.0893E+00   2.5119E+00   2.7519E-14  0.0003
   2.5119E+00   3.0200E+00   2.6616E-14  0.0004
   3.0200E+00   3.6308E+00   2.0065E-14  0.0004
   3.6308E+00   4.3652E+00   1.1160E-14  0.0006
   4.3652E+00   5.2481E+00   1.1984E-15  0.0017
   5.2481E+00   6.3096E+00   1.0440E-17  0.0163
   6.3096E+00   7.5858E+00   0.0000E+00  0.0000
   7.5858E+00   9.1201E+00   0.0000E+00  0.0000
   9.1201E+00   1.0965E+01   0.0000E+00  0.0000
   1.0965E+01   1.3183E+01   0.0000E+00  0.0000
   1.3183E+01   1.5849E+01   0.0000E+00  0.0000
   1.5849E+01   1.9055E+01   0.0000E+00  0.0000
   1.9055E+01   2.2909E+01   0.0000E+00  0.0000
   2.2909E+01   2.7542E+01   0.0000E+00  0.0000
   2.7542E+01   3.3113E+01   0.0000E+00  0.0000
   3.3113E+01   3.9811E+01   0.0000E+00  0.0000
   3.9811E+01   4.7863E+01   0.0000E+00  0.0000
   4.7863E+01   5.7544E+01   0.0000E+00  0.0000
   5.7544E+01   6.9183E+01   0.0000E+00  0.0000
   6.9183E+01   8.3176E+01   0.0000E+00  0.0000
   8.3176E+01   1.0000E+02   0.0000E+00  0.0000

#   sum over in cm or MeV    6.9829E-13  0.0001
#    Normalization factor    1.0000E+00

'no. =  1,  reg  =      1'
msuc: {\huge [t-sed] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.36}
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 2.54633444920985150E+15 # Total source weight or Total source weight / maxcas
# resc3  = 2.40000000000000000E+08 # Total history number or Total batch number
# maxcas =    15000000 # History / Batch, only used for istdev=1
# bitrseed = 0000100110101100010110110101111001011110011000101000101001111001 # bit data of rseed
